sa,hi,meter,prompt,clean_text,clean_sa_slp1,hi_slp1,model_out
पाषण्डिनं समाभाष्य तीर्थस्नानादनन्तरम् प्राप्तोऽसि कुत्सितां योनि किन्न स्मरसि तत्प्रभो ॥,हे प्रभो! क्या आपको यह स्मरण नहीं है कि तीर्थस्नान के अनन्तर पाखण्डी से वार्तालाप करने के कारण ही आपको यह कुत्सित योनि मिली है? ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",पाषण्डिनं समाभाष्य तीर्थस्नानादनन्तरम् प्राप्तोऽसि कुत्सितां योनि किन्न स्मरसि तत्प्रभो ॥,pAzaRqinaM samABAzya tIrTasnAnAdanantaram prApto'si kutsitAM yoni kinna smarasi tatpraBo ..,he praBo! kyA Apako yaha smaraRa nahIM hE ki tIrTasnAna ke anantara pAKaRqI se vArtAlApa karane ke kAraRa hI Apako yaha kutsita yoni milI hE? ..,हे प्रभो! तीर्थस्नानपश्चात् पाखण्डीसंवादात् एतां योनिं प्रापयत्स्मरणं न भवेत्॥
भविष्यन्ति ततो लोका उच्छिन्नाः सम्प्रदायिनः हन्ता स्यामस्य लोकस्य विधाता सङ्करस्य च ॥,तब मेरे ऐसा करनेसे सब वर्ण आचारभ्रष्ट होकर नष्ट हो जायँगे इससे इस संसारका नाश करनेवाला और वर्णसंकरको उत्पन्न करनेवाला भी मैं ही होऊँगा ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",भविष्यन्ति ततो लोका उच्छिन्नाः सम्प्रदायिनः हन्ता स्यामस्य लोकस्य विधाता सङ्करस्य च ॥,Bavizyanti tato lokA ucCinnAH sampradAyinaH hantA syAmasya lokasya viDAtA saNkarasya ca ..,taba mere EsA karanese saba varRa AcAraBrazwa hokara nazwa ho jAya~ge isase isa saMsArakA nASa karanevAlA Ora varRasaMkarako utpanna karanevAlA BI mEM hI hoU~gA ..,मम कृते सर्वे वर्णभ्रष्टो विनाशयेत् संसारस्य वर्णसंकरस्य जनयितुं च अहं स्याह ॥
कथयन्ति महत्पुण्यमितिहासमिहोद्धव तमहं वर्णयिष्यामि निबोध सुसमाहितः ॥,"उद्धवजी ! इस विषय में महात्मालोग एक बड़ा पवित्र प्राचीन इतिहास कहा करते हैं; मैं वही तुम्हें सुनाऊँगा, तुम मन लगाकर उसे सुनो ॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",कथयन्ति महत्पुण्यमितिहासमिहोद्धव तमहं वर्णयिष्यामि निबोध सुसमाहितः ॥,kaTayanti mahatpuRyamitihAsamihodDava tamahaM varRayizyAmi niboDa susamAhitaH ..,"udDavajI ! isa vizaya meM mahAtmAloga eka baq0A pavitra prAcIna itihAsa kahA karate hEM; mEM vahI tumheM sunAU~gA, tuma mana lagAkara use suno ..",उद्धवजी! एतत् महापुरुषाणां प्राचीनं पवित्रं इति कथां श्रुणु मे अहं कथयिष्यामि त्वं मनसा श्रुणु ॥
छद्मकामैरकामस्य गमितो यमसादनम् दृष्टं ह्येतन्मया राजंस्तपोदीर्घेन चक्षुषा,मैं कोई कामना लेकर यहाँ नहीं आया था तो भी छलकपटकी इच्छा रखनेवाले षड्यन्त्रकारियोंने मेरे कौएको मारकर यमलोक पहुँचा दिया राजन् ! तपस्याके द्वारा प्राप्त हुई दूरदर्शिनी दृष्टिसे मैंने यह सब देखा है,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",छद्मकामैरकामस्य गमितो यमसादनम् दृष्टं ह्येतन्मया राजंस्तपोदीर्घेन चक्षुषा,CadmakAmErakAmasya gamito yamasAdanam dfzwaM hyetanmayA rAjaMstapodIrGena cakzuzA,mEM koI kAmanA lekara yahA~ nahIM AyA TA to BI CalakapawakI icCA raKanevAle zaqyantrakAriyoMne mere kOeko mArakara yamaloka pahu~cA diyA rAjan ! tapasyAke dvArA prApta huI dUradarSinI dfzwise mEMne yaha saba deKA hE,अहं किमपि कामनायेन न आगच्छम् तथापि षड्यन्त्रकारिणां छलकपटिकैः मम कौएण यमलोके गतः राजन् तपसा प्राप्तदृष्ट्या इदं दृष्टम्
तुलयाम लवेनापि न स्वर्गं नापुनर्भवम् भगवत्सङ्गिसङ्गस्य मर्त्यानां किमुताशिषः ॥,"यदि भगवान् में आसक्त रहनेवालेसंतोंका क्षणभर भी सङ्ग प्राप्त हो तो उससे स्वर्ग और मोक्षर्तककीतुलना नहीं कर सकते, फिर अन्य अभिलषित पदार्थोंकी तो बात हीक्या है ? ॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",तुलयाम लवेनापि न स्वर्गं नापुनर्भवम् भगवत्सङ्गिसङ्गस्य मर्त्यानां किमुताशिषः ॥,tulayAma lavenApi na svargaM nApunarBavam BagavatsaNgisaNgasya martyAnAM kimutASizaH ..,"yadi BagavAn meM Asakta rahanevAlesaMtoMkA kzaRaBara BI saNga prApta ho to usase svarga Ora mokzartakakItulanA nahIM kara sakate, Pira anya aBilazita padArToMkI to bAta hIkyA hE ? ..",यदि भगवतः सङ्गतः क्षणमात्रपि प्राप्यते तदा स्वर्गमोक्षयोः तुलना न शक्यते अन्यत्पदार्थेषु किं कथ्यते ॥
हानिभङ्गविकल्पानां नवानां संचयेन च शरीराणामजस्याहुर्हंसत्वं पारदर्शिनः ॥,"पारदर्शी पुरुष परिणाममें हानि, भंग एवं विकल्पसे युक्त नवीन शरीरोंको बारंबार ग्रहण करनेके कारण अजन्मा परमात्माके अंशभूत जीवात्माको 'हंस' कहते हैं",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",हानिभङ्गविकल्पानां नवानां संचयेन च शरीराणामजस्याहुर्हंसत्वं पारदर्शिनः ॥,hAniBaNgavikalpAnAM navAnAM saMcayena ca SarIrARAmajasyAhurhaMsatvaM pAradarSinaH ..,"pAradarSI puruza pariRAmameM hAni, BaMga evaM vikalpase yukta navIna SarIroMko bAraMbAra grahaRa karaneke kAraRa ajanmA paramAtmAke aMSaBUta jIvAtmAko 'haMsa' kahate hEM",पारदर्शीपुरुषपरिणामे हानिभङ्गविकल्पेण शरीराणां ग्रहणेण जीवात्मां हंसं कथ्यते॥
समागतेषु सर्वेषु यदुमुख्येषु संसदि प्रावृत्तिका नराः प्राहुः पार्थिवात्ययिकं वच:॥,समस्त प्रधान यादवोंके उस सभामें आ जानेपर वे समाचार या सन्देश लानेवाले मनुष्य राजाओंके विनाशका कारणभूत वचन इस प्रकार बोले॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",ुः पार्थिवात्ययिकं वच:॥,uH pArTivAtyayikaM vaca:..,samasta praDAna yAdavoMke usa saBAmeM A jAnepara ve samAcAra yA sandeSa lAnevAle manuzya rAjAoMke vinASakA kAraRaBUta vacana isa prakAra bole..,सर्वप्रधानयादवयं सभागत्य सन्देशवाहकराजनां विनाशकारणवाक्ये तथा वदन्तः॥
सतु केशी भृशं शान्तः कृष्णेनाक्लिप्टकर्मणा स्वभुजंस्वायतं कृत्वा पाटितो बलवत्‌ तदा ॥,"जब केशी भलीभाँति शान्त हो गया, तब अनायास ही महान्‌ कर्म करनेवाले श्रीकृष्णने अपनी बाँहको बहुत बड़ी करके उस दैत्यके शरीरको बलपूर्वक बीचसे चीर डाला॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",सतु केशी भृशं शान्तः कृष्णेनाक्लिप्टकर्मणा स्वभुजंस्वायतं कृत्वा पाटितो बलवत्‌ तदा ॥,satu keSI BfSaM SAntaH kfzRenAklipwakarmaRA svaBujaMsvAyataM kftvA pAwito balavat‌ tadA ..,"jaba keSI BalIBA~ti SAnta ho gayA, taba anAyAsa hI mahAn‌ karma karanevAle SrIkfzRane apanI bA~hako bahuta baq0I karake usa dEtyake SarIrako balapUrvaka bIcase cIra qAlA..","यदा केशिः शान्तः सः, महाकृत्यी श्रीकृष्णः भुजां बृहत्कृत्य दैत्यस्य शरीरं बलपूर्वकं भेदनत्॥"
नासिकाग्र॑ समालोक्य पठन्‌ ब्रह्म सनातनम्‌ निर्वातस्थो यथा दीप: प्रोच्चरन्‌ प्रणतः सदा॥,"नासिकाके अग्रभागपर दृष्टि जमाये सनातन ब्रह्मस्वरूप प्रणबका जप करते हुए, वायुशून्य प्रदेशमें जलनेवाले दीपककी भाँति अविचलभावसे स्थित हो, वह निरन्तर प्रणाम एवं मन्त्रपाठ करने लगा॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",नासिकाग्र॑ समालोक्य पठन्‌ ब्रह्म सनातनम्‌ निर्वातस्थो यथा दीप: प्रोच्चरन्‌ प्रणतः सदा॥,nAsikAgra॑ samAlokya paWan‌ brahma sanAtanam‌ nirvAtasTo yaTA dIpa: proccaran‌ praRataH sadA..,"nAsikAke agraBAgapara dfzwi jamAye sanAtana brahmasvarUpa praRabakA japa karate hue, vAyuSUnya pradeSameM jalanevAle dIpakakI BA~ti avicalaBAvase sTita ho, vaha nirantara praRAma evaM mantrapAWa karane lagA..",नासिके अग्रभागे ध्यानं ब्रह्मस्वरूपे प्रणवजपं वायुशून्यदीपसदृशं स्थितः सदा प्रणामं पाठयत्॥
उच्चिक्षेष पुनर्दोर्भ्यामिन्द्रायुधमिवोच्छ्रितम् नोद्धर्तुमशकद् भीमो दोर्भ्यामपि महाबलः ॥,"तब महाबली भीमसेनने उनकी इन्द्रधनुषके समान ऊँची पूँछ को दोनों हाथोंसे उठानेका पुनः प्रयत्न किया, परंतु दोनों हाथ लगा देनेपर भी वे उसे उठा न सके ॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",उच्चिक्षेष पुनर्दोर्भ्यामिन्द्रायुधमिवोच्छ्रितम् नोद्धर्तुमशकद् भीमो दोर्भ्यामपि महाबलः ॥,uccikzeza punardorByAmindrAyuDamivocCritam nodDartumaSakad BImo dorByAmapi mahAbalaH ..,"taba mahAbalI BImasenane unakI indraDanuzake samAna U~cI pU~Ca ko donoM hAToMse uWAnekA punaH prayatna kiyA, paraMtu donoM hATa lagA denepara BI ve use uWA na sake ..",तदा भीमसेनः महाबलः इन्द्रधनुषसमानशिरसः द्वैहस्तैः उत्थापयितुं पुनः प्रयत्नम् अचरत् परम् अपि न शक्यत्॥
शूलाभयकरः सर्वविद्यानामधिनायकः ईशानात्मा तथैशान्यां पातु मां परमेश्वरः॥,"हाथोंमें त्रिशूल और अभयमुद्राको धारण करनेवाले, सभी विद्याओंके स्वामी, ईशानस्वरूप भगवान्‌ परमेश्वर शिव ईशानकोणमें मेरी रक्षा करें॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",शूलाभयकरः सर्वविद्यानामधिनायकः ईशानात्मा तथैशान्यां पातु मां परमेश्वरः॥,SUlABayakaraH sarvavidyAnAmaDinAyakaH ISAnAtmA taTESAnyAM pAtu mAM parameSvaraH..,"hAToMmeM triSUla Ora aBayamudrAko DAraRa karanevAle, saBI vidyAoMke svAmI, ISAnasvarUpa BagavAn‌ parameSvara Siva ISAnakoRameM merI rakzA kareM..",त्रिशूलहस्ते अभयमुद्राधारिणं विद्याधिपतिं ईशानस्वरूपं मे रक्षतु मे शिवः ॥
ततः प्रदक्षिणं कृत्वा भ्रातॄन् धौम्यं च पाण्डवः प्रातिष्ठत महाबाहुः प्रगृह्य रुचिरं धनुः ॥,तदनन्तर पाण्डुनन्दन महाबाहु अर्जुनने अपना सुन्दर धनुष हाथमें लेकर सभी भाइयों और धौम्यमुनिको दाहिने करके वहाँ से प्रस्थान किया ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",ततः प्रदक्षिणं कृत्वा भ्रातॄन् धौम्यं च पाण्डवः प्रातिष्ठत महाबाहुः प्रगृह्य रुचिरं धनुः ॥,tataH pradakziRaM kftvA BrAtFn DOmyaM ca pARqavaH prAtizWata mahAbAhuH pragfhya ruciraM DanuH ..,tadanantara pARqunandana mahAbAhu arjunane apanA sundara Danuza hATameM lekara saBI BAiyoM Ora DOmyamuniko dAhine karake vahA~ se prasTAna kiyA ..,ततः पाण्डुसुत महाबाहुः धनुर्धारणं सर्वेषु भ्रातृषु धौम्यमुनिषु च प्रस्थानम् कृतवान्॥
स्वप्रकाशमधिष्ठानं स्वयम्भूय सदात्मना ब्रह्माण्डमपि पिण्डाण्डं त्यज्यतां मलभाण्डवत् ॥,"जगत्का अधिष्ठान जो स्वयंप्रकाश परब्रह्म है, उस सत्स्वरूप से स्वयं एक होकर पिण्ड और ब्रह्माण्ड दोनों उपाधियोंको मलसे भरे हुए भाण्डके समान त्याग दो",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",स्वप्रकाशमधिष्ठानं स्वयम्भूय सदात्मना ब्रह्माण्डमपि पिण्डाण्डं त्यज्यतां मलभाण्डवत् ॥,svaprakASamaDizWAnaM svayamBUya sadAtmanA brahmARqamapi piRqARqaM tyajyatAM malaBARqavat ..,"jagatkA aDizWAna jo svayaMprakASa parabrahma hE, usa satsvarUpa se svayaM eka hokara piRqa Ora brahmARqa donoM upADiyoMko malase Bare hue BARqake samAna tyAga do",जगत्स्थं तत्त्वं परब्रह्मं स्वप्रकाशं पिण्डब्रह्माण्डयोः उपाधिमलं भाण्डेण त्यजतु॥
क्रियाभिः स्नेहसम्बन्धात्स्नेहाच्छोकमनन्तरम् सुखदुःखक्रियारम्भाज्जन्माजन्मकृतक्षणाः,ऐसी क्रियाओं द्वारा मनुष्य आसक्तिसे युक्त हो जाता है आसक्तिसे शोक होता है फिर सुखदुःखयुक्त कार्य आरम्भ करनेसे मनुष्यको जन्म और मृत्युके कष्ट स्वीकार करने पड़ते हैं,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",क्रियाभिः स्नेहसम्बन्धात्स्नेहाच्छोकमनन्तरम् सुखदुःखक्रियारम्भाज्जन्माजन्मकृतक्षणाः,kriyABiH snehasambanDAtsnehAcCokamanantaram suKaduHKakriyAramBAjjanmAjanmakftakzaRAH,EsI kriyAoM dvArA manuzya Asaktise yukta ho jAtA hE Asaktise Soka hotA hE Pira suKaduHKayukta kArya AramBa karanese manuzyako janma Ora mftyuke kazwa svIkAra karane paq0ate hEM,एतादृशक्रियाभिः मनुष्यः आसक्तिं प्राप्नोति तस्मात् शोकः भवति सुखदुःखकार्यआरभ्य जन्ममृत्युदुःखं स्वीकर्तुं पडति ॥
